Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.27     0.00    45000     0.00     0.00  Condition::~Condition()
  0.00      1.27     0.00    40000     0.00     0.00  TransactionManager::RegisterSerializableRead(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::vector<ColMeta, std::allocator<ColMeta> > const&, std::vector<Condition, std::allocator<Condition> > const&, std::vector<Rid, std::allocator<Rid> > const&, Transaction*)
  0.00      1.27     0.00    40000     0.00     0.00  ScanPlan::ScanPlan(PlanTag, SmManager*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::vector<Condition, std::allocator<Condition> >, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >)
  0.00      1.27     0.00    40000     0.00     0.00  std::_Sp_counted_ptr_inplace<ScanPlan, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00      1.27     0.00    40000     0.00     0.00  std::_Sp_counted_ptr_inplace<ScanPlan, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00      1.27     0.00    40000     0.00     0.00  Condition* std::__do_uninit_copy<__gnu_cxx::__normal_iterator<Condition const*, std::vector<Condition, std::allocator<Condition> > >, __gnu_cxx::__normal_iterator<Condition const*, std::vector<Condition, std::allocator<Condition> > >, Condition*>(__gnu_cxx::__normal_iterator<Condition const*, std::vector<Condition, std::allocator<Condition> > >, __gnu_cxx::__normal_iterator<Condition const*, std::vector<Condition, std::allocator<Condition> > >, Condition*)
  0.00      1.27     0.00    35004     0.00     0.00  IxScan::~IxScan()
  0.00      1.27     0.00    35000     0.00     0.00  IxIndexHandle::upper_bound(char const*)
  0.00      1.27     0.00    35000     0.00     0.00  IndexScanExecutor::beginTuple()
  0.00      1.27     0.00    35000     0.00     0.00  IndexScanExecutor::finish()
  0.00      1.27     0.00    35000     0.00     0.00  IndexScanExecutor::~IndexScanExecutor()
  0.00      1.27     0.00    35000     0.00     0.00  IxScan::next()
  0.00      1.27     0.00    35000     0.00     0.00  Portal::convert_plan_executor(std::shared_ptr<Plan>, Context*)
  0.00      1.27     0.00    35000     0.00     0.00  IxIndexHandle::fetch_node(int) const
  0.00      1.27     0.00    35000     0.00     0.00  IxScan::rid() const
